Id,Label,Type
199,fadrique,Tier-Lemma
200,piccolomini,Tier-Lemma
201,iduella,Tier-Lemma
202,novio,Tier-Lemma
203,verschworne,Tier-Lemma
204,hungrig,Tier-Lemma
205,agraffe,Tier-Lemma
206,fliege,Tier-Lemma
207,astragalus,Tier-Lemma
208,rüffel,Tier-Lemma
209,tenebris,Tier-Lemma
210,öhrche,Tier-Lemma
211,klakörs,Tier-Lemma
212,cavalleristen-schnurrbart,Tier-Lemma
213,flodoarde,Tier-Lemma
214,waldvogel,Tier-Lemma
215,schwarm,Tier-Lemma
216,nasenflügel,Tier-Lemma
217,hecht,Tier-Lemma
218,schmetterlingsflügel,Tier-Lemma
219,schweife,Tier-Lemma
220,penelopeia,Tier-Lemma
221,gehrk,Tier-Lemma
222,meroe,Tier-Lemma
223,papageis,Tier-Lemma
224,reiher,Tier-Lemma
225,zenturjo,Tier-Lemma
226,späher,Tier-Lemma
227,brandfuch,Tier-Lemma
228,lamon,Tier-Lemma
229,ornat,Tier-Lemma
230,has,Tier-Lemma
231,schimmel,Tier-Lemma
232,kiepe,Tier-Lemma
233,murmeltiere,Tier-Lemma
234,myrtill,Tier-Lemma
235,panier,Tier-Lemma
236,mohrin,Tier-Lemma
237,fleisch,Tier-Lemma
238,gespenster,Tier-Lemma
239,backfischchen,Tier-Lemma
240,gluthammer,Tier-Lemma
241,platanus,Tier-Lemma
242,kropfe,Tier-Lemma
243,mucius,Tier-Lemma
244,elephante,Tier-Lemma
245,landry,Tier-Lemma
246,katzen-ermischer,Tier-Lemma
247,gracchus,Tier-Lemma
248,flöt,Tier-Lemma
249,strussel,Tier-Lemma
250,delfinen,Tier-Lemma
251,pomona,Tier-Lemma
252,zügel,Tier-Lemma
253,opfertier,Tier-Lemma
254,backe,Tier-Lemma
255,euterpe,Tier-Lemma
256,mop,Tier-Lemma
257,sepp,Tier-Lemma
258,geföhl,Tier-Lemma
259,szepter,Tier-Lemma
260,doge,Tier-Lemma
261,chaiselongue,Tier-Lemma
262,panzer,Tier-Lemma
263,najade,Tier-Lemma
264,waldvögel,Tier-Lemma
265,fidelis,Tier-Lemma
266,venus,Tier-Lemma
267,kameelskopf,Tier-Lemma
268,samowar,Tier-Lemma
269,gefolge,Tier-Lemma
270,pandolf,Tier-Lemma
271,daphne,Tier-Lemma
272,lakaien,Tier-Lemma
273,swantowid,Tier-Lemma
274,zaum,Tier-Lemma
275,fadet,Tier-Lemma
276,piqueur,Tier-Lemma
277,huhn,Tier-Lemma
278,riesenschlange,Tier-Lemma
279,isidoru,Tier-Lemma
280,schwindelhort,Tier-Lemma
281,schwanen-feder,Tier-Lemma
282,wildkatze,Tier-Lemma
283,zikad,Tier-Lemma
284,tabulaturae,Tier-Lemma
285,widderfell,Tier-Lemma
286,faulteuil,Tier-Lemma
287,speer,Tier-Lemma
288,schinken,Tier-Lemma
289,kämp,Tier-Lemma
290,peitschengeknall,Tier-Lemma
291,amme,Tier-Lemma
292,schlemmerteufel,Tier-Lemma
293,speerer,Tier-Lemma
294,rosl,Tier-Lemma
295,baader,Tier-Lemma
296,hüstelnd,Tier-Lemma
297,elfe,Tier-Lemma
298,nelk,Tier-Lemma
299,ungeheuer,Tier-Lemma
300,proteus-delphin,Tier-Lemma
301,geifer,Tier-Lemma
302,poenitentiae,Tier-Lemma
303,hahnensporn,Tier-Lemma
