Id,Label,Type
197,läuschen,Tier-Lemma
198,accusatus,Tier-Lemma
199,pflanzenthier,Tier-Lemma
200,bromly,Tier-Lemma
201,phalaris,Tier-Lemma
202,kalbfell,Tier-Lemma
203,hirnes,Tier-Lemma
204,welsche,Tier-Lemma
205,seepferd,Tier-Lemma
206,großmuth,Tier-Lemma
207,raubvögelschnäbel,Tier-Lemma
208,ventidius,Tier-Lemma
209,turteltaube,Tier-Lemma
210,inseparables,Tier-Lemma
211,stiermann,Tier-Lemma
212,seraphsschwinge,Tier-Lemma
213,hälse,Tier-Lemma
214,fafner,Tier-Lemma
215,lauernd,Tier-Lemma
216,amors,Tier-Lemma
217,walroß,Tier-Lemma
218,bastard,Tier-Lemma
219,habicht,Tier-Lemma
220,rätzel,Tier-Lemma
221,kuckucksei,Tier-Lemma
222,hörnern,Tier-Lemma
223,ceres,Tier-Lemma
224,salerl,Tier-Lemma
225,knödel,Tier-Lemma
226,leuchtwürmchen,Tier-Lemma
227,fruchtgeschlinge,Tier-Lemma
228,geheul,Tier-Lemma
229,tropff,Tier-Lemma
230,paraplüs,Tier-Lemma
231,ips,Tier-Lemma
232,sporus,Tier-Lemma
233,kellerassel,Tier-Lemma
234,kopf,Tier-Lemma
235,ziegeuner,Tier-Lemma
236,laus,Tier-Lemma
237,hundschieber,Tier-Lemma
238,federschurz,Tier-Lemma
239,skorpion,Tier-Lemma
240,mad'l,Tier-Lemma
241,maultrommel,Tier-Lemma
242,croupier,Tier-Lemma
243,schnabel,Tier-Lemma
244,mathieu,Tier-Lemma
245,waldfräulein,Tier-Lemma
246,anchoye,Tier-Lemma
247,numerus,Tier-Lemma
248,hottehü,Tier-Lemma
249,benj,Tier-Lemma
250,caro,Tier-Lemma
251,distichon,Tier-Lemma
252,burrus,Tier-Lemma
253,nachtigallenschlag,Tier-Lemma
254,abendschmaus,Tier-Lemma
255,angel,Tier-Lemma
256,grane,Tier-Lemma
257,fittiches,Tier-Lemma
258,riesenweiber,Tier-Lemma
