Id,Label,Type
169,zephyrssäule,Pflanze-Lemma
170,meroe,Pflanze-Lemma
171,aslauga's,Pflanze-Lemma
172,apfelschimmel,Pflanze-Lemma
173,hafe,Pflanze-Lemma
174,flammenbusch,Pflanze-Lemma
175,laubs,Pflanze-Lemma
176,baumstumpf,Pflanze-Lemma
177,blättergrün,Pflanze-Lemma
178,läut,Pflanze-Lemma
179,pappelzweig,Pflanze-Lemma
180,lewen,Pflanze-Lemma
181,käse,Pflanze-Lemma
182,zichorie,Pflanze-Lemma
183,wunderblumen,Pflanze-Lemma
184,ros'n,Pflanze-Lemma
185,eigengrün,Pflanze-Lemma
186,heuschober,Pflanze-Lemma
187,apfelmus,Pflanze-Lemma
188,laubengang,Pflanze-Lemma
189,haidegewäch,Pflanze-Lemma
190,haselnüsse,Pflanze-Lemma
191,gartenkraut,Pflanze-Lemma
192,farnsam,Pflanze-Lemma
193,pelidenkranz,Pflanze-Lemma
194,maienblume,Pflanze-Lemma
195,anana,Pflanze-Lemma
196,wein,Pflanze-Lemma
197,beyspil,Pflanze-Lemma
198,tantalusqual,Pflanze-Lemma
199,schwesterblumen,Pflanze-Lemma
200,heldenthume,Pflanze-Lemma
201,pfirsich,Pflanze-Lemma
202,kreuz,Pflanze-Lemma
203,wildling,Pflanze-Lemma
204,aste,Pflanze-Lemma
205,zauberbaume,Pflanze-Lemma
206,schwert,Pflanze-Lemma
207,szepter,Pflanze-Lemma
208,rosenpflück,Pflanze-Lemma
209,cypres,Pflanze-Lemma
210,lotosblüte,Pflanze-Lemma
211,grasbod,Pflanze-Lemma
212,stamm-baum,Pflanze-Lemma
213,beere,Pflanze-Lemma
214,rosekohl,Pflanze-Lemma
215,dornenlabyrinth,Pflanze-Lemma
216,wasserrose,Pflanze-Lemma
217,samenkornes,Pflanze-Lemma
218,rosendorn,Pflanze-Lemma
219,meuternd,Pflanze-Lemma
220,ranunkelwurzel,Pflanze-Lemma
221,urbaum,Pflanze-Lemma
222,heil'ge,Pflanze-Lemma
223,kaiserthron,Pflanze-Lemma
224,sträußchen,Pflanze-Lemma
225,feigenblätter,Pflanze-Lemma
226,laubgäng,Pflanze-Lemma
227,blumenstand,Pflanze-Lemma
228,sagschat,Pflanze-Lemma
229,vogelbeiz,Pflanze-Lemma
230,regengrünnasse,Pflanze-Lemma
231,livree,Pflanze-Lemma
232,spinnenkraut,Pflanze-Lemma
233,liebesäpfel,Pflanze-Lemma
234,haferl,Pflanze-Lemma
235,montium,Pflanze-Lemma
236,schauderweib,Pflanze-Lemma
237,liebeskuß,Pflanze-Lemma
238,heubodn,Pflanze-Lemma
239,bahwoll,Pflanze-Lemma
240,sträußel,Pflanze-Lemma
241,strauche,Pflanze-Lemma
242,banane,Pflanze-Lemma
243,blumenstöck,Pflanze-Lemma
244,quecksilberblüt,Pflanze-Lemma
245,saatkorn,Pflanze-Lemma
246,tetinbeer,Pflanze-Lemma
247,espenbäumen,Pflanze-Lemma
248,krähe,Pflanze-Lemma
249,alpenrose,Pflanze-Lemma
250,pflanzunge,Pflanze-Lemma
251,astel,Pflanze-Lemma
252,horaz,Pflanze-Lemma
253,holunderstrauch,Pflanze-Lemma
254,schutres,Pflanze-Lemma
255,rosen-geryche,Pflanze-Lemma
256,lavendel,Pflanze-Lemma
257,ast,Pflanze-Lemma
258,théâtre-francais,Pflanze-Lemma
259,baumes,Pflanze-Lemma
260,ästge,Pflanze-Lemma
261,rittersporn«-weis,Pflanze-Lemma
262,haselstab,Pflanze-Lemma
263,grastafel,Pflanze-Lemma
264,gränzabtheilung,Pflanze-Lemma
265,astloch,Pflanze-Lemma
266,beb,Pflanze-Lemma
267,kiefernforst,Pflanze-Lemma
268,apfelsine,Pflanze-Lemma
269,zephyrs,Pflanze-Lemma
270,schnaderhüpfel,Pflanze-Lemma
271,giftkraut,Pflanze-Lemma
272,pflock,Pflanze-Lemma
273,palmesel,Pflanze-Lemma
274,anemon,Pflanze-Lemma
275,alpenfrucht,Pflanze-Lemma
276,pinienapfel,Pflanze-Lemma
277,limmel,Pflanze-Lemma
278,gänseblümchen,Pflanze-Lemma
279,gräul's,Pflanze-Lemma
280,zuleima,Pflanze-Lemma
281,bruderpalm,Pflanze-Lemma
282,reiherbüschen,Pflanze-Lemma
283,schlendrian,Pflanze-Lemma
284,gewächshause,Pflanze-Lemma
285,seidenwurm,Pflanze-Lemma
286,frühlings-knospe,Pflanze-Lemma
287,ehrenplund,Pflanze-Lemma
288,geborn,Pflanze-Lemma
289,heiligthume,Pflanze-Lemma
290,fittichen,Pflanze-Lemma
291,kipfel,Pflanze-Lemma
292,gerste,Pflanze-Lemma
293,fennerichin,Pflanze-Lemma
294,runzel,Pflanze-Lemma
295,hortense,Pflanze-Lemma
296,grasung,Pflanze-Lemma
297,frühlingsmargueriten,Pflanze-Lemma
298,äpfeln,Pflanze-Lemma
299,kelch,Pflanze-Lemma
300,blättergrüns,Pflanze-Lemma
301,wies,Pflanze-Lemma
302,heiland,Pflanze-Lemma
303,stock,Pflanze-Lemma
304,äbte,Pflanze-Lemma
305,springwurz,Pflanze-Lemma
306,stachelzahn,Pflanze-Lemma
307,abendblume,Pflanze-Lemma
308,artischock,Pflanze-Lemma
309,gewächshäusern,Pflanze-Lemma
310,blüm'ln,Pflanze-Lemma
311,paradiesfrüchte,Pflanze-Lemma
312,bohne,Pflanze-Lemma
313,reuter,Pflanze-Lemma
314,weidenruthe,Pflanze-Lemma
315,flieh,Pflanze-Lemma
316,vogelscheuch,Pflanze-Lemma
317,sonn'wirthsrosel,Pflanze-Lemma
318,heilkräuter,Pflanze-Lemma
319,flore,Pflanze-Lemma
320,lorbeerblätter,Pflanze-Lemma
321,pflästerchen,Pflanze-Lemma
322,gräz,Pflanze-Lemma
323,sträuche,Pflanze-Lemma
324,bancbanus,Pflanze-Lemma
325,gesträuchen,Pflanze-Lemma
326,aepffeln,Pflanze-Lemma
327,sibyllenwurz,Pflanze-Lemma
328,eichenlaub,Pflanze-Lemma
329,heringsweibe,Pflanze-Lemma
330,birne,Pflanze-Lemma
331,lindengang,Pflanze-Lemma
332,fliegn,Pflanze-Lemma
333,blumen-reich,Pflanze-Lemma
334,buchenastes,Pflanze-Lemma
335,roggengras,Pflanze-Lemma
336,gerücht,Pflanze-Lemma
337,amphitryon,Pflanze-Lemma
338,finkensiep,Pflanze-Lemma
339,beut,Pflanze-Lemma
340,blätterdach,Pflanze-Lemma
341,augentrost,Pflanze-Lemma
342,wandertrieb,Pflanze-Lemma
343,stoppel,Pflanze-Lemma
344,silberblätter,Pflanze-Lemma
345,blumenköpfe,Pflanze-Lemma
346,blumenkränzen,Pflanze-Lemma
347,alraun,Pflanze-Lemma
348,blumenstück,Pflanze-Lemma
349,haselbusch,Pflanze-Lemma
350,körndel,Pflanze-Lemma
351,melankolie,Pflanze-Lemma
352,gräul,Pflanze-Lemma
353,lysimon,Pflanze-Lemma
354,wurzelsepp,Pflanze-Lemma
355,almansor,Pflanze-Lemma
356,isabellen,Pflanze-Lemma
357,blumenstöcke,Pflanze-Lemma
358,büsch,Pflanze-Lemma
359,rosenstock,Pflanze-Lemma
360,schatteneiche,Pflanze-Lemma
361,veredle,Pflanze-Lemma
362,jesmin,Pflanze-Lemma
363,hobelspänne,Pflanze-Lemma
364,blühe,Pflanze-Lemma
365,blumensträußchen,Pflanze-Lemma
366,rettichen,Pflanze-Lemma
367,y.,Pflanze-Lemma
368,amaryll,Pflanze-Lemma
369,trauerblumen,Pflanze-Lemma
370,pompadour,Pflanze-Lemma
371,blättchen,Pflanze-Lemma
372,tollkraut,Pflanze-Lemma
373,portepee-fähnrich,Pflanze-Lemma
374,lindenblühweis,Pflanze-Lemma
375,flechten,Pflanze-Lemma
376,wasserpflanze,Pflanze-Lemma
377,lindenthau,Pflanze-Lemma
378,palm,Pflanze-Lemma
379,gartenschneck,Pflanze-Lemma
380,neveu,Pflanze-Lemma
381,maurensitte,Pflanze-Lemma
382,schrot,Pflanze-Lemma
383,zauberkräuter,Pflanze-Lemma
384,heurige,Pflanze-Lemma
385,fuchs,Pflanze-Lemma
386,nebelweib,Pflanze-Lemma
387,unterirdschen,Pflanze-Lemma
388,rosenschein,Pflanze-Lemma
389,rosenglanze,Pflanze-Lemma
390,rundholz,Pflanze-Lemma
391,lind,Pflanze-Lemma
392,maulbeer-baum,Pflanze-Lemma
393,blättert,Pflanze-Lemma
394,olivenkern,Pflanze-Lemma
395,lebensbaum,Pflanze-Lemma
396,hieb,Pflanze-Lemma
397,horst,Pflanze-Lemma
398,tiara,Pflanze-Lemma
399,niflung,Pflanze-Lemma
400,harfenweib,Pflanze-Lemma
401,taubenklee,Pflanze-Lemma
402,frümeß,Pflanze-Lemma
403,buchenschatte,Pflanze-Lemma
404,silberäst,Pflanze-Lemma
405,mandragor,Pflanze-Lemma
406,lebensblumen,Pflanze-Lemma
407,hornisse,Pflanze-Lemma
408,safran,Pflanze-Lemma
409,blumenbank,Pflanze-Lemma
410,semmerl,Pflanze-Lemma
411,fähndrich,Pflanze-Lemma
412,schädling,Pflanze-Lemma
413,sprosse,Pflanze-Lemma
414,sträuß,Pflanze-Lemma
415,nesselkraut,Pflanze-Lemma
416,vögerl,Pflanze-Lemma
417,gelöbniß,Pflanze-Lemma
418,thymian,Pflanze-Lemma
419,birnbaum,Pflanze-Lemma
420,rheinweinsort,Pflanze-Lemma
421,feigenbaumes,Pflanze-Lemma
422,borotin,Pflanze-Lemma
423,kurnblume,Pflanze-Lemma
424,granatapfel,Pflanze-Lemma
425,nußbaum,Pflanze-Lemma
426,kokett,Pflanze-Lemma
427,rosetta,Pflanze-Lemma
428,blümenkörbchen,Pflanze-Lemma
429,zwetschken,Pflanze-Lemma
430,feie,Pflanze-Lemma
431,cedernholz,Pflanze-Lemma
432,hökenweib,Pflanze-Lemma
433,vätter,Pflanze-Lemma
434,mephistopheles,Pflanze-Lemma
435,bauernrosen,Pflanze-Lemma
436,melkknecht,Pflanze-Lemma
437,blumme,Pflanze-Lemma
438,balustraden,Pflanze-Lemma
439,nadelöhr,Pflanze-Lemma
440,dœrn,Pflanze-Lemma
441,oel,Pflanze-Lemma
442,pflugschaar,Pflanze-Lemma
443,ebereschbeere,Pflanze-Lemma
444,fichtelberger,Pflanze-Lemma
445,riesin,Pflanze-Lemma
446,süßholzraspler,Pflanze-Lemma
