Source,Target,Weight,Type
811,5098,1,occurs_in_speaker_text
234,5098,1,occurs_in_speaker_text
4103,5098,1,occurs_in_speaker_text
863,5098,1,occurs_in_speaker_text
2809,5098,1,occurs_in_speaker_text
389,5098,1,occurs_in_speaker_text
1637,5098,2,occurs_in_speaker_text
2766,5098,1,occurs_in_speaker_text
3326,5098,1,occurs_in_speaker_text
4576,5098,1,occurs_in_speaker_text
33,5098,1,occurs_in_speaker_text
2398,5098,1,occurs_in_speaker_text
1725,5098,1,occurs_in_speaker_text
4065,5098,1,occurs_in_speaker_text
3967,5098,1,occurs_in_speaker_text
103,5098,2,occurs_in_speaker_text
4752,5098,1,occurs_in_speaker_text
2460,5098,1,occurs_in_speaker_text
2261,5098,1,occurs_in_speaker_text
3904,5098,1,occurs_in_speaker_text
4887,5098,1,occurs_in_speaker_text
407,5098,4,occurs_in_speaker_text
3855,5098,1,occurs_in_speaker_text
1534,5098,2,occurs_in_speaker_text
3079,5098,1,occurs_in_speaker_text
2485,5098,1,occurs_in_speaker_text
1637,5099,2,occurs_in_speaker_text
318,5099,2,occurs_in_speaker_text
3737,5099,6,occurs_in_speaker_text
2659,5099,3,occurs_in_speaker_text
2347,5099,3,occurs_in_speaker_text
3904,5099,1,occurs_in_speaker_text
3959,5099,1,occurs_in_speaker_text
93,5099,1,occurs_in_speaker_text
4003,5099,1,occurs_in_speaker_text
4084,5099,1,occurs_in_speaker_text
3841,5099,1,occurs_in_speaker_text
2213,5099,1,occurs_in_speaker_text
388,5099,1,occurs_in_speaker_text
2756,5099,1,occurs_in_speaker_text
2458,5099,1,occurs_in_speaker_text
795,5100,1,occurs_in_speaker_text
793,5100,1,occurs_in_speaker_text
4989,5100,1,occurs_in_speaker_text
1999,5100,3,occurs_in_speaker_text
1687,5100,4,occurs_in_speaker_text
1509,5100,1,occurs_in_speaker_text
2365,5100,1,occurs_in_speaker_text
2289,5100,1,occurs_in_speaker_text
4974,5100,1,occurs_in_speaker_text
1725,5100,1,occurs_in_speaker_text
1331,5100,6,occurs_in_speaker_text
3099,5100,2,occurs_in_speaker_text
2972,5100,1,occurs_in_speaker_text
4143,5100,3,occurs_in_speaker_text
4724,5100,1,occurs_in_speaker_text
3673,5100,1,occurs_in_speaker_text
4299,5100,2,occurs_in_speaker_text
2910,5100,1,occurs_in_speaker_text
4124,5100,1,occurs_in_speaker_text
2746,5100,1,occurs_in_speaker_text
4040,5100,1,occurs_in_speaker_text
3107,5100,1,occurs_in_speaker_text
4286,5100,1,occurs_in_speaker_text
1431,5100,1,occurs_in_speaker_text
1950,5100,1,occurs_in_speaker_text
2193,5100,1,occurs_in_speaker_text
507,5101,1,occurs_in_speaker_text
897,5101,1,occurs_in_speaker_text
811,5101,1,occurs_in_speaker_text
4003,5102,5,occurs_in_speaker_text
4143,5102,2,occurs_in_speaker_text
1465,5102,1,occurs_in_speaker_text
1414,5102,1,occurs_in_speaker_text
376,5102,1,occurs_in_speaker_text
2365,5102,2,occurs_in_speaker_text
81,5102,2,occurs_in_speaker_text
308,5102,3,occurs_in_speaker_text
4993,5102,1,occurs_in_speaker_text
1331,5102,1,occurs_in_speaker_text
3167,5102,3,occurs_in_speaker_text
3562,5102,1,occurs_in_speaker_text
2047,5102,2,occurs_in_speaker_text
1431,5102,3,occurs_in_speaker_text
4299,5102,1,occurs_in_speaker_text
4163,5102,1,occurs_in_speaker_text
952,5102,1,occurs_in_speaker_text
3526,5102,1,occurs_in_speaker_text
3099,5102,1,occurs_in_speaker_text
920,5103,1,occurs_in_speaker_text
2312,5103,1,occurs_in_speaker_text
4300,5103,1,occurs_in_speaker_text
1637,5103,1,occurs_in_speaker_text
4003,5103,1,occurs_in_speaker_text
2445,5103,2,occurs_in_speaker_text
4576,5103,2,occurs_in_speaker_text
3635,5103,1,occurs_in_speaker_text
4040,5103,1,occurs_in_speaker_text
1285,5103,1,occurs_in_speaker_text
2567,5103,1,occurs_in_speaker_text
3360,5104,1,occurs_in_speaker_text
3899,5104,1,occurs_in_speaker_text
308,5104,1,occurs_in_speaker_text
1637,5104,1,occurs_in_speaker_text
1509,5104,1,occurs_in_speaker_text
2972,5104,1,occurs_in_speaker_text
3028,5105,1,occurs_in_speaker_text
3111,5105,2,occurs_in_speaker_text
39,5105,1,occurs_in_speaker_text
953,5105,1,occurs_in_speaker_text
217,5105,1,occurs_in_speaker_text
5041,5105,1,occurs_in_speaker_text
2331,5105,1,occurs_in_speaker_text
234,5105,1,occurs_in_speaker_text
811,5105,2,occurs_in_speaker_text
3500,5105,2,occurs_in_speaker_text
4387,5105,1,occurs_in_speaker_text
2750,5105,1,occurs_in_speaker_text
1118,5105,1,occurs_in_speaker_text
1116,5105,1,occurs_in_speaker_text
3735,5105,1,occurs_in_speaker_text
685,5105,2,occurs_in_speaker_text
863,5105,1,occurs_in_speaker_text
4143,5105,2,occurs_in_speaker_text
384,5105,1,occurs_in_speaker_text
3470,5105,1,occurs_in_speaker_text
4194,5105,1,occurs_in_speaker_text
1232,5105,4,occurs_in_speaker_text
449,5105,1,occurs_in_speaker_text
1346,5105,1,occurs_in_speaker_text
3856,5105,1,occurs_in_speaker_text
3724,5105,1,occurs_in_speaker_text
3099,5105,1,occurs_in_speaker_text
2289,5105,1,occurs_in_speaker_text
942,5105,3,occurs_in_speaker_text
275,5105,1,occurs_in_speaker_text
3688,5105,1,occurs_in_speaker_text
1999,5105,3,occurs_in_speaker_text
4119,5105,1,occurs_in_speaker_text
4018,5105,4,occurs_in_speaker_text
3635,5105,1,occurs_in_speaker_text
3341,5105,1,occurs_in_speaker_text
3526,5105,1,occurs_in_speaker_text
2485,5105,2,occurs_in_speaker_text
3188,5105,1,occurs_in_speaker_text
2042,5105,1,occurs_in_speaker_text
4368,5105,1,occurs_in_speaker_text
1091,5105,1,occurs_in_speaker_text
742,5105,1,occurs_in_speaker_text
4576,5105,1,occurs_in_speaker_text
3148,5105,3,occurs_in_speaker_text
1561,5105,1,occurs_in_speaker_text
1044,5105,1,occurs_in_speaker_text
3526,5106,3,occurs_in_speaker_text
3500,5106,2,occurs_in_speaker_text
4219,5106,1,occurs_in_speaker_text
275,5106,3,occurs_in_speaker_text
4724,5106,5,occurs_in_speaker_text
981,5106,1,occurs_in_speaker_text
1431,5106,2,occurs_in_speaker_text
4876,5106,3,occurs_in_speaker_text
4282,5106,1,occurs_in_speaker_text
2618,5106,1,occurs_in_speaker_text
4878,5106,3,occurs_in_speaker_text
3562,5106,1,occurs_in_speaker_text
5029,5106,2,occurs_in_speaker_text
3099,5106,3,occurs_in_speaker_text
3096,5106,1,occurs_in_speaker_text
2485,5106,7,occurs_in_speaker_text
162,5106,1,occurs_in_speaker_text
2024,5106,1,occurs_in_speaker_text
4398,5106,2,occurs_in_speaker_text
3904,5106,1,occurs_in_speaker_text
4003,5106,1,occurs_in_speaker_text
4753,5106,1,occurs_in_speaker_text
507,5106,1,occurs_in_speaker_text
942,5106,1,occurs_in_speaker_text
5045,5106,1,occurs_in_speaker_text
2910,5106,2,occurs_in_speaker_text
2972,5106,2,occurs_in_speaker_text
2047,5106,1,occurs_in_speaker_text
105,5106,1,occurs_in_speaker_text
3893,5106,1,occurs_in_speaker_text
3432,5106,1,occurs_in_speaker_text
4143,5106,1,occurs_in_speaker_text
2870,5106,1,occurs_in_speaker_text
2943,5106,1,occurs_in_speaker_text
464,5106,1,occurs_in_speaker_text
829,5106,1,occurs_in_speaker_text
1271,5107,1,occurs_in_speaker_text
4814,5107,1,occurs_in_speaker_text
3526,5107,4,occurs_in_speaker_text
1710,5107,1,occurs_in_speaker_text
4368,5107,1,occurs_in_speaker_text
3635,5107,4,occurs_in_speaker_text
31,5107,1,occurs_in_speaker_text
1739,5107,1,occurs_in_speaker_text
2983,5107,1,occurs_in_speaker_text
4413,5107,1,occurs_in_speaker_text
4622,5107,1,occurs_in_speaker_text
2554,5107,2,occurs_in_speaker_text
2660,5107,1,occurs_in_speaker_text
1573,5107,1,occurs_in_speaker_text
2750,5107,1,occurs_in_speaker_text
1637,5107,1,occurs_in_speaker_text
507,5107,2,occurs_in_speaker_text
942,5107,2,occurs_in_speaker_text
5077,5107,1,occurs_in_speaker_text
1331,5107,1,occurs_in_speaker_text
1570,5107,1,occurs_in_speaker_text
4353,5108,2,occurs_in_speaker_text
1739,5108,1,occurs_in_speaker_text
2125,5108,1,occurs_in_speaker_text
4576,5108,1,occurs_in_speaker_text
308,5108,1,occurs_in_speaker_text
811,5108,2,occurs_in_speaker_text
4286,5109,1,occurs_in_speaker_text
1303,5109,1,occurs_in_speaker_text
1588,5109,1,occurs_in_speaker_text
4639,5109,1,occurs_in_speaker_text
2289,5109,1,occurs_in_speaker_text
4339,5109,1,occurs_in_speaker_text
47,5109,1,occurs_in_speaker_text
1074,5109,1,occurs_in_speaker_text
4403,5109,2,occurs_in_speaker_text
1873,5109,1,occurs_in_speaker_text
604,5109,1,occurs_in_speaker_text
2766,5109,1,occurs_in_speaker_text
3846,5109,3,occurs_in_speaker_text
994,5109,2,occurs_in_speaker_text
862,5109,1,occurs_in_speaker_text
2547,5109,1,occurs_in_speaker_text
1536,5109,1,occurs_in_speaker_text
3526,5109,1,occurs_in_speaker_text
4368,5109,1,occurs_in_speaker_text
863,5109,1,occurs_in_speaker_text
2745,5109,1,occurs_in_speaker_text
1272,5109,7,occurs_in_speaker_text
4641,5109,1,occurs_in_speaker_text
1508,5109,4,occurs_in_speaker_text
2494,5109,1,occurs_in_speaker_text
4003,5109,1,occurs_in_speaker_text
3739,5109,2,occurs_in_speaker_text
3492,5109,1,occurs_in_speaker_text
1331,5109,1,occurs_in_speaker_text
395,5109,1,occurs_in_speaker_text
279,5109,1,occurs_in_speaker_text
1956,5109,1,occurs_in_speaker_text
2317,5109,1,occurs_in_speaker_text
2910,5109,1,occurs_in_speaker_text
2391,5109,1,occurs_in_speaker_text
1580,5109,1,occurs_in_speaker_text
2446,5109,1,occurs_in_speaker_text
1725,5109,4,occurs_in_speaker_text
506,5109,1,occurs_in_speaker_text
2567,5109,1,occurs_in_speaker_text
3099,5109,1,occurs_in_speaker_text
2256,5110,1,occurs_in_speaker_text
275,5110,1,occurs_in_speaker_text
4398,5110,1,occurs_in_speaker_text
2312,5110,2,occurs_in_speaker_text
1551,5110,2,occurs_in_speaker_text
4097,5110,1,occurs_in_speaker_text
942,5110,2,occurs_in_speaker_text
507,5110,1,occurs_in_speaker_text
5077,5111,2,occurs_in_speaker_text
1999,5111,2,occurs_in_speaker_text
2594,5111,1,occurs_in_speaker_text
687,5111,1,occurs_in_speaker_text
811,5111,3,occurs_in_speaker_text
4272,5111,1,occurs_in_speaker_text
3570,5111,1,occurs_in_speaker_text
2885,5111,1,occurs_in_speaker_text
2359,5111,1,occurs_in_speaker_text
1515,5111,1,occurs_in_speaker_text
2673,5111,1,occurs_in_speaker_text
2069,5111,1,occurs_in_speaker_text
2485,5111,1,occurs_in_speaker_text
822,5111,2,occurs_in_speaker_text
2155,5111,1,occurs_in_speaker_text
2982,5111,2,occurs_in_speaker_text
4576,5111,2,occurs_in_speaker_text
1232,5111,1,occurs_in_speaker_text
139,5111,5,occurs_in_speaker_text
4826,5112,1,occurs_in_speaker_text
2751,5112,1,occurs_in_speaker_text
3500,5112,2,occurs_in_speaker_text
33,5112,1,occurs_in_speaker_text
2750,5112,1,occurs_in_speaker_text
1637,5112,1,occurs_in_speaker_text
3120,5112,1,occurs_in_speaker_text
573,5112,1,occurs_in_speaker_text
1687,5112,1,occurs_in_speaker_text
4576,5113,2,occurs_in_speaker_text
2632,5113,1,occurs_in_speaker_text
4870,5113,1,occurs_in_speaker_text
4368,5113,1,occurs_in_speaker_text
2312,5113,1,occurs_in_speaker_text
3707,5113,1,occurs_in_speaker_text
3330,5113,1,occurs_in_speaker_text
3581,5113,1,occurs_in_speaker_text
691,5113,1,occurs_in_speaker_text
4003,5113,1,occurs_in_speaker_text
811,5113,3,occurs_in_speaker_text
1459,5113,1,occurs_in_speaker_text
4815,5113,1,occurs_in_speaker_text
2841,5113,1,occurs_in_speaker_text
1144,5113,7,occurs_in_speaker_text
2987,5113,1,occurs_in_speaker_text
3708,5113,2,occurs_in_speaker_text
3552,5113,1,occurs_in_speaker_text
1686,5113,1,occurs_in_speaker_text
2972,5113,1,occurs_in_speaker_text
4753,5113,1,occurs_in_speaker_text
2750,5113,2,occurs_in_speaker_text
3526,5113,1,occurs_in_speaker_text
608,5113,1,occurs_in_speaker_text
4956,5113,1,occurs_in_speaker_text
3943,5113,1,occurs_in_speaker_text
3724,5113,2,occurs_in_speaker_text
4143,5113,1,occurs_in_speaker_text
4656,5113,1,occurs_in_speaker_text
1584,5113,1,occurs_in_speaker_text
2155,5113,4,occurs_in_speaker_text
2082,5113,1,occurs_in_speaker_text
3099,5113,3,occurs_in_speaker_text
3635,5113,2,occurs_in_speaker_text
2910,5113,1,occurs_in_speaker_text
2256,5113,1,occurs_in_speaker_text
4058,5113,1,occurs_in_speaker_text
2773,5113,1,occurs_in_speaker_text
4731,5113,1,occurs_in_speaker_text
3114,5113,1,occurs_in_speaker_text
3815,5113,1,occurs_in_speaker_text
4304,5113,1,occurs_in_speaker_text
2579,5113,1,occurs_in_speaker_text
239,5113,1,occurs_in_speaker_text
4299,5113,1,occurs_in_speaker_text
1992,5113,1,occurs_in_speaker_text
3735,5113,1,occurs_in_speaker_text
4486,5113,1,occurs_in_speaker_text
1494,5113,1,occurs_in_speaker_text
2485,5113,1,occurs_in_speaker_text
1396,5113,1,occurs_in_speaker_text
4261,5113,1,occurs_in_speaker_text
4124,5113,1,occurs_in_speaker_text
3562,5113,1,occurs_in_speaker_text
1972,5113,2,occurs_in_speaker_text
1954,5113,1,occurs_in_speaker_text
103,5113,1,occurs_in_speaker_text
952,5113,1,occurs_in_speaker_text
139,5113,1,occurs_in_speaker_text
4003,5114,1,occurs_in_speaker_text
234,5114,2,occurs_in_speaker_text
2910,5114,3,occurs_in_speaker_text
3143,5114,1,occurs_in_speaker_text
2477,5114,1,occurs_in_speaker_text
687,5114,1,occurs_in_speaker_text
3868,5114,1,occurs_in_speaker_text
259,5114,1,occurs_in_speaker_text
4856,5114,1,occurs_in_speaker_text
2574,5114,1,occurs_in_speaker_text
5034,5114,1,occurs_in_speaker_text
2188,5114,1,occurs_in_speaker_text
1999,5114,2,occurs_in_speaker_text
2495,5114,1,occurs_in_speaker_text
4942,5114,1,occurs_in_speaker_text
629,5114,1,occurs_in_speaker_text
1616,5114,1,occurs_in_speaker_text
2766,5114,1,occurs_in_speaker_text
162,5114,1,occurs_in_speaker_text
3809,5114,1,occurs_in_speaker_text
4923,5114,1,occurs_in_speaker_text
2538,5114,1,occurs_in_speaker_text
942,5114,1,occurs_in_speaker_text
3625,5114,2,occurs_in_speaker_text
3107,5114,1,occurs_in_speaker_text
1714,5114,1,occurs_in_speaker_text
2189,5114,1,occurs_in_speaker_text
2430,5114,1,occurs_in_speaker_text
2681,5114,1,occurs_in_speaker_text
1068,5114,1,occurs_in_speaker_text
4576,5115,1,occurs_in_speaker_text
629,5115,1,occurs_in_speaker_text
234,5115,1,occurs_in_speaker_text
1697,5115,1,occurs_in_speaker_text
239,5115,4,occurs_in_speaker_text
4658,5115,1,occurs_in_speaker_text
3226,5115,1,occurs_in_speaker_text
4653,5115,1,occurs_in_speaker_text
5055,5115,1,occurs_in_speaker_text
863,5116,1,occurs_in_speaker_text
2445,5116,2,occurs_in_speaker_text
2703,5116,1,occurs_in_speaker_text
4576,5116,1,occurs_in_speaker_text
1431,5116,1,occurs_in_speaker_text
4359,5116,1,occurs_in_speaker_text
1536,5116,1,occurs_in_speaker_text
629,5116,2,occurs_in_speaker_text
1994,5116,1,occurs_in_speaker_text
3635,5116,1,occurs_in_speaker_text
942,5116,1,occurs_in_speaker_text
368,5116,1,occurs_in_speaker_text
811,5116,1,occurs_in_speaker_text
4373,5117,1,occurs_in_speaker_text
3069,5117,1,occurs_in_speaker_text
3724,5117,2,occurs_in_speaker_text
4724,5117,6,occurs_in_speaker_text
5045,5117,3,occurs_in_speaker_text
2289,5117,1,occurs_in_speaker_text
3712,5117,1,occurs_in_speaker_text
729,5117,1,occurs_in_speaker_text
426,5117,1,occurs_in_speaker_text
1637,5117,1,occurs_in_speaker_text
1999,5117,1,occurs_in_speaker_text
2233,5117,1,occurs_in_speaker_text
4681,5117,1,occurs_in_speaker_text
1329,5117,2,occurs_in_speaker_text
2038,5117,8,occurs_in_speaker_text
162,5117,1,occurs_in_speaker_text
1243,5117,1,occurs_in_speaker_text
1584,5117,1,occurs_in_speaker_text
980,5117,1,occurs_in_speaker_text
3099,5117,1,occurs_in_speaker_text
4040,5117,1,occurs_in_speaker_text
1536,5117,2,occurs_in_speaker_text
239,5117,1,occurs_in_speaker_text
4143,5117,2,occurs_in_speaker_text
2910,5117,1,occurs_in_speaker_text
3609,5117,1,occurs_in_speaker_text
3825,5117,1,occurs_in_speaker_text
1677,5117,1,occurs_in_speaker_text
3164,5117,1,occurs_in_speaker_text
533,5117,1,occurs_in_speaker_text
3713,5117,1,occurs_in_speaker_text
1331,5117,1,occurs_in_speaker_text
219,5117,1,occurs_in_speaker_text
1358,5117,1,occurs_in_speaker_text
1687,5117,2,occurs_in_speaker_text
4003,5117,1,occurs_in_speaker_text
3064,5117,1,occurs_in_speaker_text
740,5117,1,occurs_in_speaker_text
1144,5117,1,occurs_in_speaker_text
2629,5117,1,occurs_in_speaker_text
139,5117,1,occurs_in_speaker_text
5029,5117,1,occurs_in_speaker_text
811,5118,1,occurs_in_speaker_text
1637,5118,4,occurs_in_speaker_text
4267,5118,2,occurs_in_speaker_text
